"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:1915252","1110058L19Rik","ENSMUSG00000026154","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:1926146","1500015O10Rik","ENSMUSG00000026051","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919275","1600012P17Rik","ENSMUSG00000047661","protein coding gene","KNOWN_protein_coding|protein_coding|unknown"
"MGI:1922722","1700009P17Rik","ENSMUSG00000026649","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924175","1700015E13Rik","ENSMUSG00000042800","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:1916678","1700016C15Rik","ENSMUSG00000015962","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1916647","1700019A02Rik","ENSMUSG00000060715","protein coding gene","protein-coding|protein_coding"
"MGI:1914330","1700019D03Rik","ENSMUSG00000043629","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:1919113","1700019O17Rik","ENSMUSG00000036574","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922808","1700022P22Rik","ENSMUSG00000057072","protein coding gene","protein-coding|protein_coding"
"MGI:1916649","1700025G04Rik","ENSMUSG00000032666","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921515","1700034H15Rik","ENSMUSG00000055833","protein coding gene","KNOWN_protein_coding|miscRNA|protein_coding"
"MGI:1920613","1700056E22Rik","ENSMUSG00000044854","protein coding gene","protein-coding|protein_coding"
"MGI:1920717","1700066M21Rik","ENSMUSG00000038323","protein coding gene","protein-coding|protein_coding"
"MGI:1925715","1700084C01Rik","ENSMUSG00000070532","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920839","1700101I19Rik","ENSMUSG00000045815","protein coding gene","protein_coding"
"MGI:1919347","2010300C02Rik","ENSMUSG00000026090","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919124","2310007B03Rik","ENSMUSG00000034159","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1916799","2310009B15Rik","ENSMUSG00000079283","protein coding gene","protein-coding|protein_coding"
"MGI:1922832","2310035C23Rik","ENSMUSG00000026319","protein coding gene","protein-coding|protein_coding"
"MGI:1919731","2610203C22Rik","ENSMUSG00000079671","protein coding gene","miscRNA|NOVEL_protein_coding|protein_coding"
"MGI:1917203","2810025M15Rik","ENSMUSG00000049881","protein coding gene","miscRNA|NOVEL_protein_coding|protein_coding"
"MGI:1920042","2810459M11Rik","ENSMUSG00000026227","protein coding gene","protein-coding|protein_coding|PUTATIVE_protein_coding"
"MGI:1920353","3110009E18Rik","ENSMUSG00000026388","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924232","3110035E14Rik","ENSMUSG00000067879","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920484","3110079O15Rik","ENSMUSG00000026258","protein coding gene","protein-coding|protein_coding"
"MGI:3618292","4922505E12Rik","ENSMUSG00000043429","protein coding gene","protein-coding|protein_coding"
"MGI:1923049","4930444P10Rik","ENSMUSG00000067795","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
